title,url,instructionalLevel,corpus
Develop a Professional OnePage WordPress site With No Coding,https://www.udemy.com/develop-a-professional-onepage-wordpress-site-with-no-coding/,Beginner Level,Develop a Professional OnePage WordPress site With No Coding develop a professional onepage wordpress site with no codingWeb DevelopmentBeginner Level
PHP Specialist (2017 Edition),https://www.udemy.com/php-specialist-2017/,Beginner Level,PHP Specialist (2017 Edition) php specialist 2017Web DevelopmentBeginner Level
Python Programming: Create an Digital Marketplace in Django,https://www.udemy.com/coding-for-entrepreneurs-marketplace-daily-deals/,All Levels,Python Programming: Create an Digital Marketplace in Django coding for entrepreneurs marketplace daily dealsWeb DevelopmentAll Levels
Create Ajax Chat App with PHP & Mysql,https://www.udemy.com/create-ajax-chat-app-with-php-mysql/,Beginner Level,Create Ajax Chat App with PHP & Mysql create ajax chat app with php mysqlWeb DevelopmentBeginner Level
Mastering Thymeleaf with Spring,https://www.udemy.com/mastering-thymeleaf-with-spring/,All Levels,Mastering Thymeleaf with Spring mastering thymeleaf with springWeb DevelopmentAll Levels
Learn Rails Programming in Less than 2 Hours,https://www.udemy.com/learn-rails-programming-in-less-than-2-hours/,All Levels,Learn Rails Programming in Less than 2 Hours learn rails programming in less than 2 hoursWeb DevelopmentAll Levels
Wordpress Backup & Restore,https://www.udemy.com/wordpress-backup-restore/,All Levels,Wordpress Backup & Restore wordpress backup restoreWeb DevelopmentAll Levels
Learn JavaScript Dynamic Interactive Projects for Beginners,https://www.udemy.com/learn-javascript-dynamic-interactive-projects-for-beginners/,Beginner Level,Learn JavaScript Dynamic Interactive Projects for Beginners learn javascript dynamic interactive projects for beginnersWeb DevelopmentBeginner Level
Build Modern Websites Super Fast,https://www.udemy.com/build-modern-websites-in-1-hour/,All Levels,Build Modern Websites Super Fast build modern websites in 1 hourWeb DevelopmentAll Levels
SAP - Learn SAPUI5 Professional Development,https://www.udemy.com/learn-sapui5/,All Levels,SAP - Learn SAPUI5 Professional Development learn sapui5Web DevelopmentAll Levels
Wordpress Security,https://www.udemy.com/easy-wordpress-security/,All Levels,Wordpress Security easy wordpress securityWeb DevelopmentAll Levels
Learn HTML5 At Your Own Pace. Ideal for Beginners,https://www.udemy.com/learning-html5/,All Levels,Learn HTML5 At Your Own Pace. Ideal for Beginners learning html5Web DevelopmentAll Levels
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,https://www.udemy.com/build-an-amazon-clone-nodejs-stripe-elasticsearch/,All Levels,Build an Amazon clone: Nodejs + MongoDB + Stripe Payment build an amazon clone nodejs stripe elasticsearchWeb DevelopmentAll Levels
Build Real World Websites from Scratch using HTML5 and CSS3,https://www.udemy.com/web-development-html5-css3/,Beginner Level,Build Real World Websites from Scratch using HTML5 and CSS3 web development html5 css3Web DevelopmentBeginner Level
How to become an App Developer,https://www.udemy.com/how-to-become-an-app-developer/,Beginner Level,How to become an App Developer how to become an app developerWeb DevelopmentBeginner Level
"Modern JavaScript: Building Real-World, Real-Time Apps",https://www.udemy.com/real-world-real-time-modern-javascript/,Intermediate Level,"Modern JavaScript: Building Real-World, Real-Time Apps real world real time modern javascriptWeb DevelopmentIntermediate Level"
JavaScript Introduction to Object Oriented JavaScript,https://www.udemy.com/javascript-introduction-to-object-oriented-javascript/,Beginner Level,JavaScript Introduction to Object Oriented JavaScript javascript introduction to object oriented javascriptWeb DevelopmentBeginner Level
Core HTML How to get online quickly HTML to HTML5 ,https://www.udemy.com/web-development-introduction-html-html5-course/,Beginner Level,Core HTML How to get online quickly HTML to HTML5  web development introduction html html5 courseWeb DevelopmentBeginner Level
Building Websites JavaScript and the DOM,https://www.udemy.com/building-websites-learn-javascript-and-the-dom/,Beginner Level,Building Websites JavaScript and the DOM building websites learn javascript and the domWeb DevelopmentBeginner Level
Complete Login and Registration System in PHP and MYSQL,https://www.udemy.com/login-and-registration-system-in-php-and-mysql-step-by-step/,All Levels,Complete Login and Registration System in PHP and MYSQL login and registration system in php and mysql step by stepWeb DevelopmentAll Levels
The Complete E-Commerce Web Developer Course 5.0,https://www.udemy.com/e-commerce-web-developer-course/,All Levels,The Complete E-Commerce Web Developer Course 5.0 e commerce web developer courseWeb DevelopmentAll Levels
HTML5 canvas Bootcamp for beginners 25 easy steps,https://www.udemy.com/html5-canvas-course-for-beginners/,Beginner Level,HTML5 canvas Bootcamp for beginners 25 easy steps html5 canvas course for beginnersWeb DevelopmentBeginner Level
Advanced HTML5 Tutorial for Web Developers,https://www.udemy.com/advanced-html5-for-web-developers/,All Levels,Advanced HTML5 Tutorial for Web Developers advanced html5 for web developersWeb DevelopmentAll Levels
Learn the Basics of Programming for Marketers,https://www.udemy.com/basic-programming-for-marketers/,Beginner Level,Learn the Basics of Programming for Marketers basic programming for marketersWeb DevelopmentBeginner Level
Css For Beginners,https://www.udemy.com/css-made-simple-for-beginners-learn-to-style-a-website-page/,Beginner Level,Css For Beginners css made simple for beginners learn to style a website pageWeb DevelopmentBeginner Level
GRUNT js: Automate web development tasks and save your time,https://www.udemy.com/gruntjs-automate-web-development-tasks-and-save-your-time/,All Levels,GRUNT js: Automate web development tasks and save your time gruntjs automate web development tasks and save your timeWeb DevelopmentAll Levels
Mastering Web and Mobile Debugging Using Chrome Dev Tools,https://www.udemy.com/mastering-web-and-mobile-debugging-using-chrome-dev-tools/,All Levels,Mastering Web and Mobile Debugging Using Chrome Dev Tools mastering web and mobile debugging using chrome dev toolsWeb DevelopmentAll Levels
HTML : Beginner Guide to HTML writing,https://www.udemy.com/html-beginner-guide/,Beginner Level,HTML : Beginner Guide to HTML writing html beginner guideWeb DevelopmentBeginner Level
Build Web Apps Using EmberJS: The Complete Course,https://www.udemy.com/build-web-apps-using-emberjs-the-complete-course/,All Levels,Build Web Apps Using EmberJS: The Complete Course build web apps using emberjs the complete courseWeb DevelopmentAll Levels
SharePoint 2013 Development using C# - Part I,https://www.udemy.com/sharepoint2013development/,All Levels,SharePoint 2013 Development using C# - Part I sharepoint2013developmentWeb DevelopmentAll Levels
SAP Crystal Reports with ASP.Net (Step by step),https://www.udemy.com/sap-crystalreports-for-beginners/,Beginner Level,SAP Crystal Reports with ASP.Net (Step by step) sap crystalreports for beginnersWeb DevelopmentBeginner Level
Building Responsive Data Visualizations with D3 JS,https://www.udemy.com/building-responsive-data-visualizations-with-d3js/,All Levels,Building Responsive Data Visualizations with D3 JS building responsive data visualizations with d3jsWeb DevelopmentAll Levels
Learn Rails Programming in Less than 30 Minute - Lite,https://www.udemy.com/learn-rails-programming-in-less-than-30-minute-lite/,All Levels,Learn Rails Programming in Less than 30 Minute - Lite learn rails programming in less than 30 minute liteWeb DevelopmentAll Levels
SASS - Beginner Crash Course,https://www.udemy.com/sass-beginner-crash-course/,Beginner Level,SASS - Beginner Crash Course sass beginner crash courseWeb DevelopmentBeginner Level
Angular 2 Fundamentals for Web Developers,https://www.udemy.com/angular-2-fundamentals-for-web-developers/,All Levels,Angular 2 Fundamentals for Web Developers angular 2 fundamentals for web developersWeb DevelopmentAll Levels
Easily Learn Web Development With Drop & Drag: OptimizePress,https://www.udemy.com/optimizepress/,Beginner Level,Easily Learn Web Development With Drop & Drag: OptimizePress optimizepressWeb DevelopmentBeginner Level
XML XSLT - Crash Course for Beginners,https://www.udemy.com/xml-xslt-crash-course-for-beginners/,All Levels,XML XSLT - Crash Course for Beginners xml xslt crash course for beginnersWeb DevelopmentAll Levels
Create Your Own Successful Online School To Sell Courses,https://www.udemy.com/create-an-online-school-website-with-joomla/,Beginner Level,Create Your Own Successful Online School To Sell Courses create an online school website with joomlaWeb DevelopmentBeginner Level
Flask Tutorial Step by Step,https://www.udemy.com/python-flask-tutorial-step-by-step/,Intermediate Level,Flask Tutorial Step by Step python flask tutorial step by stepWeb DevelopmentIntermediate Level
Ruby on Rails a Beginners Guide ,https://www.udemy.com/ruby-on-rails-a-beginners-guide-free/,Beginner Level,Ruby on Rails a Beginners Guide  ruby on rails a beginners guide freeWeb DevelopmentBeginner Level
Mastering Basic CSS Selectors.,https://www.udemy.com/mastering-basic-css-selectors/,Beginner Level,Mastering Basic CSS Selectors. mastering basic css selectorsWeb DevelopmentBeginner Level
Create a Website Similar to Facebook from Scratch!,https://www.udemy.com/clone-facebook/,All Levels,Create a Website Similar to Facebook from Scratch! clone facebookWeb DevelopmentAll Levels
Comprehensive TypeScript,https://www.udemy.com/typescript101/,All Levels,Comprehensive TypeScript typescript101Web DevelopmentAll Levels
"Essential HTML, CSS & HTML5 Training",https://www.udemy.com/essential-html-css-html5-training/,Beginner Level,"Essential HTML, CSS & HTML5 Training essential html css html5 trainingWeb DevelopmentBeginner Level"
HTML 5 and CSS 3 - tricks and workarounds,https://www.udemy.com/html5-css3-tricks-and-workarounds/,All Levels,HTML 5 and CSS 3 - tricks and workarounds html5 css3 tricks and workaroundsWeb DevelopmentAll Levels
"How to Register a Domain, Set Up Hosting, and Edit Web Pages",https://www.udemy.com/register-domain-setup-hosting-create-web-page/,Beginner Level,"How to Register a Domain, Set Up Hosting, and Edit Web Pages register domain setup hosting create web pageWeb DevelopmentBeginner Level"
WordPress Plugins Treasure Chest,https://www.udemy.com/best-wordpress-plugins-treasure-chest/,Intermediate Level,WordPress Plugins Treasure Chest best wordpress plugins treasure chestWeb DevelopmentIntermediate Level
Practical Understanding of PHP and MySQL,https://www.udemy.com/practical-understanding-of-php-and-myqsl-demo/,Beginner Level,Practical Understanding of PHP and MySQL practical understanding of php and myqsl demoWeb DevelopmentBeginner Level
"AngularJS for Beginners, Single-Page Applications Made Easy",https://www.udemy.com/angularjs-tutorial/,All Levels,"AngularJS for Beginners, Single-Page Applications Made Easy angularjs tutorialWeb DevelopmentAll Levels"
Building a Social Network in PHP & MySQL From Scratch,https://www.udemy.com/social-network-in-php-mysql/,All Levels,Building a Social Network in PHP & MySQL From Scratch social network in php mysqlWeb DevelopmentAll Levels
XML DOM - Crash Course for Beginners,https://www.udemy.com/xml-dom-crash-course-for-beginners/,All Levels,XML DOM - Crash Course for Beginners xml dom crash course for beginnersWeb DevelopmentAll Levels
Create a Powerful Website with the Cool Bootstrap Framework,https://www.udemy.com/e107-tutorial-for-beginner-build-bootstrap-website/,All Levels,Create a Powerful Website with the Cool Bootstrap Framework e107 tutorial for beginner build bootstrap websiteWeb DevelopmentAll Levels
HTML5 and CSS3 -Start building beautiful websites,https://www.udemy.com/html5-and-css3-crash-course/,All Levels,HTML5 and CSS3 -Start building beautiful websites html5 and css3 crash courseWeb DevelopmentAll Levels
Getting Started as a Web Developer,https://www.udemy.com/refactoru-getting-started-as-a-web-developer/,Beginner Level,Getting Started as a Web Developer refactoru getting started as a web developerWeb DevelopmentBeginner Level
Learn Laravel: Create Your Web App Step-By-Step,https://www.udemy.com/laravel-5-course-learn-php-laravel/,All Levels,Learn Laravel: Create Your Web App Step-By-Step laravel 5 course learn php laravelWeb DevelopmentAll Levels
Professional Web Scraping with Java,https://www.udemy.com/learn-web-scraping-with-java-in-just-1-hour/,Intermediate Level,Professional Web Scraping with Java learn web scraping with java in just 1 hourWeb DevelopmentIntermediate Level
3D Programming with WebGL and Babylon.js for Beginners,https://www.udemy.com/webgl-tutorial/,Intermediate Level,3D Programming with WebGL and Babylon.js for Beginners webgl tutorialWeb DevelopmentIntermediate Level
Learn to make a colorful one page website,https://www.udemy.com/learn-to-make-a-colorful-one-page-website/,All Levels,Learn to make a colorful one page website learn to make a colorful one page websiteWeb DevelopmentAll Levels
WordPress Plugin Tutorial,https://www.udemy.com/wordpress-plugin-tutorial/,Beginner Level,WordPress Plugin Tutorial wordpress plugin tutorialWeb DevelopmentBeginner Level
Introduction to HTML,https://www.udemy.com/refactoru-intro-html/,Beginner Level,Introduction to HTML refactoru intro htmlWeb DevelopmentBeginner Level
Learn JavaScript From Scratch:Become Top Rated Web Developer,https://www.udemy.com/learnjsandbecometopratedwebdeveloper/,All Levels,Learn JavaScript From Scratch:Become Top Rated Web Developer learnjsandbecometopratedwebdeveloperWeb DevelopmentAll Levels
"Installing Wordpress 4 - Installation, Registrars & Hosting",https://www.udemy.com/installing-wordpress-domain-registrars-and-web-hosting/,Beginner Level,"Installing Wordpress 4 - Installation, Registrars & Hosting installing wordpress domain registrars and web hostingWeb DevelopmentBeginner Level"
Learn PHP Programming for Absolute Beginners,https://www.udemy.com/learn-php-programming-for-absolute-beginners/,All Levels,Learn PHP Programming for Absolute Beginners learn php programming for absolute beginnersWeb DevelopmentAll Levels
WordPress for Beginners 2017 + Google AdSense Implementation,https://www.udemy.com/wordpress-tutorial-for-beginners-and-google-adsense-implementation/,All Levels,WordPress for Beginners 2017 + Google AdSense Implementation wordpress tutorial for beginners and google adsense implementationWeb DevelopmentAll Levels
JavaScript for beginners in 1 hour,https://www.udemy.com/learn-javascript-in-1-hour-and-create-a-game-in-javascript/,Beginner Level,JavaScript for beginners in 1 hour learn javascript in 1 hour and create a game in javascriptWeb DevelopmentBeginner Level
HTML5 and CSS for Beginner To Expert,https://www.udemy.com/html5-and-css-for-beginner-to-expert/,All Levels,HTML5 and CSS for Beginner To Expert html5 and css for beginner to expertWeb DevelopmentAll Levels
Become a Kick-Ass Web Developer: From Newbie to Pro,https://www.udemy.com/become-a-web-developer/,All Levels,Become a Kick-Ass Web Developer: From Newbie to Pro become a web developerWeb DevelopmentAll Levels
Django Tutorial: Build Your First App Fast & Free! ,https://www.udemy.com/create-your-first-django-website-fast-free/,Beginner Level,Django Tutorial: Build Your First App Fast & Free!  create your first django website fast freeWeb DevelopmentBeginner Level
Create a social network using PHP Mysqli HTML Css and JQuery,https://www.udemy.com/create-a-social-network-using-php-mysqli-html-css-and-jquery/,Intermediate Level,Create a social network using PHP Mysqli HTML Css and JQuery create a social network using php mysqli html css and jqueryWeb DevelopmentIntermediate Level
PHP - Send and Receive Mobile Text Messages (SMS),https://www.udemy.com/php-send-and-receive-mobile-text-messages-sms/,All Levels,PHP - Send and Receive Mobile Text Messages (SMS) php send and receive mobile text messages smsWeb DevelopmentAll Levels
Complete PHP Course with OOP Start to Finish!,https://www.udemy.com/complete-object-oriented-programming-in-php-start-to-finish/,All Levels,Complete PHP Course with OOP Start to Finish! complete object oriented programming in php start to finishWeb DevelopmentAll Levels
Coding Made Easy: HTML & CSS For Beginners,https://www.udemy.com/coding-made-easy-html-css-for-beginners/,Beginner Level,Coding Made Easy: HTML & CSS For Beginners coding made easy html css for beginnersWeb DevelopmentBeginner Level
WordPress Security - The Ultimate Security Guide,https://www.udemy.com/wordpress-the-ultimate-security-guide/,All Levels,WordPress Security - The Ultimate Security Guide wordpress the ultimate security guideWeb DevelopmentAll Levels
How to Make a Single Page Website for Freelancers & Agencies,https://www.udemy.com/how-to-make-a-portfolio-website-for-freelancers-agencies/,All Levels,How to Make a Single Page Website for Freelancers & Agencies how to make a portfolio website for freelancers agenciesWeb DevelopmentAll Levels
Learn to Use jQuery UI Widgets,https://www.udemy.com/learn-to-use-jquery-ui-widgets/,Beginner Level,Learn to Use jQuery UI Widgets learn to use jquery ui widgetsWeb DevelopmentBeginner Level
Learn to Create Responsive Layouts in 30 Minutes,https://www.udemy.com/learn-to-create-responsive-layouts-in-30-minutes/,Beginner Level,Learn to Create Responsive Layouts in 30 Minutes learn to create responsive layouts in 30 minutesWeb DevelopmentBeginner Level
Web Building Starter Pack. Html Css and JQuery Animations,https://www.udemy.com/web-building-starter-pack-html-css-and-jquery-animations/,All Levels,Web Building Starter Pack. Html Css and JQuery Animations web building starter pack html css and jquery animationsWeb DevelopmentAll Levels
Getting Started with Angular 2+,https://www.udemy.com/getting-started-with-angular-2/,Beginner Level,Getting Started with Angular 2+ getting started with angular 2Web DevelopmentBeginner Level
Intro to PHP Web Application Development with Symfony,https://www.udemy.com/symfony-development/,Beginner Level,Intro to PHP Web Application Development with Symfony symfony developmentWeb DevelopmentBeginner Level
Learn OAuth 2.0 - Theory and Hands On,https://www.udemy.com/learn-oauth-20-theory-and-hands-on/,All Levels,Learn OAuth 2.0 - Theory and Hands On learn oauth 20 theory and hands onWeb DevelopmentAll Levels
Learning CSS3 - A Comprehensive Tutorial For Web Developers,https://www.udemy.com/learning-css3/,All Levels,Learning CSS3 - A Comprehensive Tutorial For Web Developers learning css3Web DevelopmentAll Levels
Professional WordPress Theme Development from Scratch,https://www.udemy.com/photoshop-psd-to-wordpress-theme-development-from-scratch/,All Levels,Professional WordPress Theme Development from Scratch photoshop psd to wordpress theme development from scratchWeb DevelopmentAll Levels
PHP Zend Framework 1.11:Creating a CRUD Application,https://www.udemy.com/zend-framework-111creating-a-crud-application/,All Levels,PHP Zend Framework 1.11:Creating a CRUD Application zend framework 111creating a crud applicationWeb DevelopmentAll Levels
Write quicker HTML5 and CSS 3; productivity hacks with emmet,https://www.udemy.com/write-quicker-html5-and-css-3-productivity-hacks-with-emmet/,All Levels,Write quicker HTML5 and CSS 3; productivity hacks with emmet write quicker html5 and css 3 productivity hacks with emmetWeb DevelopmentAll Levels
The Ultimate jQuery Course,https://www.udemy.com/essential-jquery-training/,All Levels,The Ultimate jQuery Course essential jquery trainingWeb DevelopmentAll Levels
Build an Advanced Single Page with Bootstrap & WordPress,https://www.udemy.com/single-page-design-with-bootstrap-css-html5-js-parallax/,Intermediate Level,Build an Advanced Single Page with Bootstrap & WordPress single page design with bootstrap css html5 js parallaxWeb DevelopmentIntermediate Level
Master all PHP ideas 2017 to build any project,https://www.udemy.com/master-all-php-ideas-2017-to-build-any-project/,Beginner Level,Master all PHP ideas 2017 to build any project master all php ideas 2017 to build any projectWeb DevelopmentBeginner Level
A Beginner's Guide to the Meteor JavaScript Framework,https://www.udemy.com/meteorjs/,Beginner Level,A Beginner's Guide to the Meteor JavaScript Framework meteorjsWeb DevelopmentBeginner Level
Create an E-commerce website without any coding,https://www.udemy.com/create-an-e-commerce-website-without-any-coding/,All Levels,Create an E-commerce website without any coding create an e commerce website without any codingWeb DevelopmentAll Levels
Learn To Build Apps Using Play Framework,https://www.udemy.com/learn-to-build-apps-using-play-framework/,All Levels,Learn To Build Apps Using Play Framework learn to build apps using play frameworkWeb DevelopmentAll Levels
Introducing Ionic 2,https://www.udemy.com/introducing-ionic-2/,Beginner Level,Introducing Ionic 2 introducing ionic 2Web DevelopmentBeginner Level
Learn Laravel with Database Migration & Seeding & Faker,https://www.udemy.com/laravel-53-migra-migration-seeding-faker-tinker/,All Levels,Learn Laravel with Database Migration & Seeding & Faker laravel 53 migra migration seeding faker tinkerWeb DevelopmentAll Levels
Create a Client Network by Hosting WordPress Sites,https://www.udemy.com/create-a-client-network-by-hosting-wordpress-sites/,Intermediate Level,Create a Client Network by Hosting WordPress Sites create a client network by hosting wordpress sitesWeb DevelopmentIntermediate Level
Introduction to PHP Slim Microframework,https://www.udemy.com/introduction-to-php-slim-microframework/,Intermediate Level,Introduction to PHP Slim Microframework introduction to php slim microframeworkWeb DevelopmentIntermediate Level
ASP :basics for beginners,https://www.udemy.com/asp-basics-for-beginners/,All Levels,ASP :basics for beginners asp basics for beginnersWeb DevelopmentAll Levels
"WordPress Development With NodeJS, Gulp, Composer & More",https://www.udemy.com/wordpress-development-with-nodejs-gulpjs-composer-sass-more/,Intermediate Level,"WordPress Development With NodeJS, Gulp, Composer & More wordpress development with nodejs gulpjs composer sass moreWeb DevelopmentIntermediate Level"
Become PHP Facebook Developer: Password-Less Authentication,https://www.udemy.com/php-facebook-developer-password-less-authentication/,All Levels,Become PHP Facebook Developer: Password-Less Authentication php facebook developer password less authenticationWeb DevelopmentAll Levels
How To Create Your Very First Website With HTML and CSS,https://www.udemy.com/how-to-create-a-website-with-html-and-css/,Beginner Level,How To Create Your Very First Website With HTML and CSS how to create a website with html and cssWeb DevelopmentBeginner Level
Learn JSON for beginners with JavaScript,https://www.udemy.com/json-javascript-course/,Beginner Level,Learn JSON for beginners with JavaScript json javascript courseWeb DevelopmentBeginner Level
Ultimate guide to Social Media Web development integration ,https://www.udemy.com/ultimate-guide-to-social-media-web-development-integration/,All Levels,Ultimate guide to Social Media Web development integration  ultimate guide to social media web development integrationWeb DevelopmentAll Levels
A Complete Laravel basics from beginner to expert,https://www.udemy.com/learn-laravel-from-beginner-to-expert/,All Levels,A Complete Laravel basics from beginner to expert learn laravel from beginner to expertWeb DevelopmentAll Levels
JQuery Basics - Learn JQuery From Scratch,https://www.udemy.com/jquery-basics-learn-jquery-from-scratch/,Beginner Level,JQuery Basics - Learn JQuery From Scratch jquery basics learn jquery from scratchWeb DevelopmentBeginner Level
Learn MeteorJS By Building 10 Real World Projects,https://www.udemy.com/learn-meteorjs-by-building-10-real-world-projects/,All Levels,Learn MeteorJS By Building 10 Real World Projects learn meteorjs by building 10 real world projectsWeb DevelopmentAll Levels
JavaScript Basics for Beginners Introduction to coding,https://www.udemy.com/learn-javascript-for-beginners-introduction-to-coding-course/,Beginner Level,JavaScript Basics for Beginners Introduction to coding learn javascript for beginners introduction to coding courseWeb DevelopmentBeginner Level
AngularJS Masterclass - Deep Dive & Understand AngularJS,https://www.udemy.com/angularjs-masterclass/,All Levels,AngularJS Masterclass - Deep Dive & Understand AngularJS angularjs masterclassWeb DevelopmentAll Levels
HTML5 for beginners,https://www.udemy.com/html-complete-html-course-for-beginners/,Beginner Level,HTML5 for beginners html complete html course for beginnersWeb DevelopmentBeginner Level
All in one HTML CSS and JQuery,https://www.udemy.com/all-in-one-html-css-and-jquery/,All Levels,All in one HTML CSS and JQuery all in one html css and jqueryWeb DevelopmentAll Levels
Responsive Design with NEW Materialize,https://www.udemy.com/responsive-design-with-new-google-materialize/,All Levels,Responsive Design with NEW Materialize responsive design with new google materializeWeb DevelopmentAll Levels
Create a Responsive Business Website with WordPress,https://www.udemy.com/creating-a-business-website-with-a-responsive-design/,All Levels,Create a Responsive Business Website with WordPress creating a business website with a responsive designWeb DevelopmentAll Levels
PHP webservices,https://www.udemy.com/php-webservices/,All Levels,PHP webservices php webservicesWeb DevelopmentAll Levels
JavaScript Promises: Applications in ES6 and AngularJS,https://www.udemy.com/javascript-promises-applications-in-es6-and-angularjs/,Beginner Level,JavaScript Promises: Applications in ES6 and AngularJS javascript promises applications in es6 and angularjsWeb DevelopmentBeginner Level
Learn to build 20 websites and build 14 iOS9 apps with swift,https://www.udemy.com/learn-to-build-20-websites-and-build-14-ios9-apps-with-swift/,All Levels,Learn to build 20 websites and build 14 iOS9 apps with swift learn to build 20 websites and build 14 ios9 apps with swiftWeb DevelopmentAll Levels
Professional CSS Flexbox,https://www.udemy.com/css-flexbox/,Intermediate Level,Professional CSS Flexbox css flexboxWeb DevelopmentIntermediate Level
XML :basics for beginners,https://www.udemy.com/xml-basics-for-beginners/,All Levels,XML :basics for beginners xml basics for beginnersWeb DevelopmentAll Levels
How to create Paypal and Credit card Payment Buttons,https://www.udemy.com/how-to-create-paypal-and-credit-card-payment-buttons/,Beginner Level,How to create Paypal and Credit card Payment Buttons how to create paypal and credit card payment buttonsWeb DevelopmentBeginner Level
Customizr - Learn WordPress with the ultimate creative theme,https://www.udemy.com/wpcustomizrcourse/,Beginner Level,Customizr - Learn WordPress with the ultimate creative theme wpcustomizrcourseWeb DevelopmentBeginner Level
How To Create a Local Wordpress Environment,https://www.udemy.com/how-to-create-a-local-wordpress-environment/,Beginner Level,How To Create a Local Wordpress Environment how to create a local wordpress environmentWeb DevelopmentBeginner Level
Fun and creative web engineering with Python and Web2py,https://www.udemy.com/web-engineering-with-python-and-web2py/,All Levels,Fun and creative web engineering with Python and Web2py web engineering with python and web2pyWeb DevelopmentAll Levels
WordPress for Beginners - Build Your First Website in 2017,https://www.udemy.com/from-novice-to-ninja-the-complete-wordpress-training-course/,Beginner Level,WordPress for Beginners - Build Your First Website in 2017 from novice to ninja the complete wordpress training courseWeb DevelopmentBeginner Level
Learn to Make an Animated Image Gallery using HTML5,https://www.udemy.com/learn-to-make-an-animated-image-gallery-using-html5/,Beginner Level,Learn to Make an Animated Image Gallery using HTML5 learn to make an animated image gallery using html5Web DevelopmentBeginner Level
Projects in Foundation Framework - Learn By Building 10 Apps,https://www.udemy.com/foundation-framework-course/,All Levels,Projects in Foundation Framework - Learn By Building 10 Apps foundation framework courseWeb DevelopmentAll Levels
Drupal for Beginners,https://www.udemy.com/getting-started-with-drupal-for-total-beginners/,Beginner Level,Drupal for Beginners getting started with drupal for total beginnersWeb DevelopmentBeginner Level
Laravel : CRUD Application Using AJAX In Laravel 5.3,https://www.udemy.com/laravel-53-crud-application-with-ajax/,Intermediate Level,Laravel : CRUD Application Using AJAX In Laravel 5.3 laravel 53 crud application with ajaxWeb DevelopmentIntermediate Level
Foundations of Front-End Web Development,https://www.udemy.com/foundations-of-front-end-development/,Beginner Level,Foundations of Front-End Web Development foundations of front end developmentWeb DevelopmentBeginner Level
Angular 2 - Superheroic Framework,https://www.udemy.com/marutiangular2/,Beginner Level,Angular 2 - Superheroic Framework marutiangular2Web DevelopmentBeginner Level
Social Network Web Development,https://www.udemy.com/how-to-create-a-social-network-site-from-scratch/,All Levels,Social Network Web Development how to create a social network site from scratchWeb DevelopmentAll Levels
For Free - Deploy Quickly Spring Boot on Heroku With MySQL,https://www.udemy.com/learn-quickly-deploying-spring-boot-app-on-heroku-with-mysql/,All Levels,For Free - Deploy Quickly Spring Boot on Heroku With MySQL learn quickly deploying spring boot app on heroku with mysqlWeb DevelopmentAll Levels
Building Web Applications with Spring MVC,https://www.udemy.com/building-web-applications-with-spring-mvc/,All Levels,Building Web Applications with Spring MVC building web applications with spring mvcWeb DevelopmentAll Levels
"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",https://www.udemy.com/html5-css3-bootstrap-how-to-create-a-responsive-website/,All Levels,"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website html5 css3 bootstrap how to create a responsive websiteWeb DevelopmentAll Levels"
HTML & CSS - Learn to build sleek websites ,https://www.udemy.com/html-css-learn-to-build-sleek-websites/,All Levels,HTML & CSS - Learn to build sleek websites  html css learn to build sleek websitesWeb DevelopmentAll Levels
Master Angular 2 - The No Nonsense Course,https://www.udemy.com/angular-2-tutorial/,Beginner Level,Master Angular 2 - The No Nonsense Course angular 2 tutorialWeb DevelopmentBeginner Level
Master ASP . NET 4 from scratch,https://www.udemy.com/masteraspnet/,All Levels,Master ASP . NET 4 from scratch masteraspnetWeb DevelopmentAll Levels
CoffeeScript: The Good Parts—Write Better javaScript,https://www.udemy.com/coffeescript/,Beginner Level,CoffeeScript: The Good Parts—Write Better javaScript coffeescriptWeb DevelopmentBeginner Level
Mastering Magento,https://www.udemy.com/mastering-magento/,All Levels,Mastering Magento mastering magentoWeb DevelopmentAll Levels
Ultimate JavaScript Strings,https://www.udemy.com/js-strings/,Beginner Level,Ultimate JavaScript Strings js stringsWeb DevelopmentBeginner Level
Your Own Site in 45 Min: The Complete Wordpress Course,https://www.udemy.com/wordpress-sites/,All Levels,Your Own Site in 45 Min: The Complete Wordpress Course wordpress sitesWeb DevelopmentAll Levels
Redirect Your Visitors By Country Easily -Wordpress Tutorial,https://www.udemy.com/redirect-your-visitors-by-country-easily-wordpress-tutorial/,Beginner Level,Redirect Your Visitors By Country Easily -Wordpress Tutorial redirect your visitors by country easily wordpress tutorialWeb DevelopmentBeginner Level
Learn Knockout JS Framework from GroundUp,https://www.udemy.com/learn-knockout-js-framework-from-groundup/,All Levels,Learn Knockout JS Framework from GroundUp learn knockout js framework from groundupWeb DevelopmentAll Levels
Build Responsive Websites  in an Hour using Portalfin,https://www.udemy.com/build-website/,All Levels,Build Responsive Websites  in an Hour using Portalfin build websiteWeb DevelopmentAll Levels
Master Riot: Learn Riot.js from Scratch,https://www.udemy.com/master-riot/,Intermediate Level,Master Riot: Learn Riot.js from Scratch master riotWeb DevelopmentIntermediate Level
