title,url,instructionalLevel,source,institution,isPaid,corpus
Basic JavaScript: Build 4 Basic JavaScript Projects,https://www.udemy.com/practical-javascript-javascript-basics/,Beginner Level,Udemy,Independent/Organisation,True,Basic JavaScript: Build 4 Basic JavaScript Projects practical javascript javascript basicsIT and Web Development Beginner Level Udemy Independent/Organisation
HTML and CSS for Beginning Web Developers,https://www.udemy.com/html-and-css-for-beginning-web-developers/,Beginner Level,Udemy,Independent/Organisation,True,HTML and CSS for Beginning Web Developers html and css for beginning web developersIT and Web Development Beginner Level Udemy Independent/Organisation
Popular JavaScript Framework:Learn The Language Of Angular 2,https://www.udemy.com/popular-javascript-frameworklearn-the-language-of-angular-2/,Beginner Level,Udemy,Independent/Organisation,True,Popular JavaScript Framework:Learn The Language Of Angular 2 popular javascript frameworklearn the language of angular 2IT and Web Development Beginner Level Udemy Independent/Organisation
The Ultimate Guide to the Best WordPress Plugins Part 1,https://www.udemy.com/wordpress-plugins-a-guide-on-the-best-plugins-part-1/,All Levels,Udemy,Independent/Organisation,True,The Ultimate Guide to the Best WordPress Plugins Part 1 wordpress plugins a guide on the best plugins part 1IT and Web Development All Levels Udemy Independent/Organisation
XSLT :basics for beginners,https://www.udemy.com/xslt-basics-for-beginners/,All Levels,Udemy,Independent/Organisation,True,XSLT :basics for beginners xslt basics for beginnersIT and Web Development All Levels Udemy Independent/Organisation
The Complete Wordpress Plugin Development Course - 8 Plugins,https://www.udemy.com/wordpress-plugin-development/,All Levels,Udemy,Independent/Organisation,True,The Complete Wordpress Plugin Development Course - 8 Plugins wordpress plugin developmentIT and Web Development All Levels Udemy Independent/Organisation
JSON Crash Course for Beginners,https://www.udemy.com/json-crash-course-for-beginners-learn-json-in-one-hour/,Beginner Level,Udemy,Independent/Organisation,True,JSON Crash Course for Beginners json crash course for beginners learn json in one hourIT and Web Development Beginner Level Udemy Independent/Organisation
You can create Incredible Websites with HTML CSS learn how,https://www.udemy.com/learn-to-create-html-css-web-templates-create-web-pages/,All Levels,Udemy,Independent/Organisation,True,You can create Incredible Websites with HTML CSS learn how learn to create html css web templates create web pagesIT and Web Development All Levels Udemy Independent/Organisation
JavaScript Tricks how to create code projects from scratch,https://www.udemy.com/learn-javascript-code-create-projects-from-scratch/,All Levels,Udemy,Independent/Organisation,True,JavaScript Tricks how to create code projects from scratch learn javascript code create projects from scratchIT and Web Development All Levels Udemy Independent/Organisation
The Sass Course! Learn Sass for Real-World Websites,https://www.udemy.com/learn-sass/,All Levels,Udemy,Independent/Organisation,True,The Sass Course! Learn Sass for Real-World Websites learn sassIT and Web Development All Levels Udemy Independent/Organisation
Web Design How to Create a Website HTML CSS Bootstrap,https://www.udemy.com/how-to-create-a-website-html-css-bootstrap/,Beginner Level,Udemy,Independent/Organisation,True,Web Design How to Create a Website HTML CSS Bootstrap how to create a website html css bootstrapIT and Web Development Beginner Level Udemy Independent/Organisation
Master Angular 4 by Example - Build 7 Awesome Apps!,https://www.udemy.com/learn-angular-4/,All Levels,Udemy,Independent/Organisation,True,Master Angular 4 by Example - Build 7 Awesome Apps! learn angular 4IT and Web Development All Levels Udemy Independent/Organisation
Create A Custom Responsive WordPress Website For A Client,https://www.udemy.com/create-custom-responsive-wordpress-website-client/,All Levels,Udemy,Independent/Organisation,True,Create A Custom Responsive WordPress Website For A Client create custom responsive wordpress website clientIT and Web Development All Levels Udemy Independent/Organisation
Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,All Levels,Udemy,Independent/Organisation,True,Mastering HTML5 Programming - The Easier Way html5 programming tutorialsIT and Web Development All Levels Udemy Independent/Organisation
How to Launch Your Own Website Builder Service,https://www.udemy.com/how-to-launch-your-own-website-builder-service/,Beginner Level,Udemy,Independent/Organisation,True,How to Launch Your Own Website Builder Service how to launch your own website builder serviceIT and Web Development Beginner Level Udemy Independent/Organisation
Getting Started with HTML,https://www.udemy.com/html-basics-course/,Beginner Level,Udemy,Independent/Organisation,True,Getting Started with HTML html basics courseIT and Web Development Beginner Level Udemy Independent/Organisation
Spring Framework 4 (Java Enterprise JEE) with AngularJS,https://www.udemy.com/java-spring-mvc-framework-with-angularjs-by-google-and-html5/,All Levels,Udemy,Independent/Organisation,True,Spring Framework 4 (Java Enterprise JEE) with AngularJS java spring mvc framework with angularjs by google and html5IT and Web Development All Levels Udemy Independent/Organisation
Build A Weather App With Ajax Using Open Weather Map API,https://www.udemy.com/build-a-weather-app-with-ajax-using-open-weather-map-api/,All Levels,Udemy,Independent/Organisation,True,Build A Weather App With Ajax Using Open Weather Map API build a weather app with ajax using open weather map apiIT and Web Development All Levels Udemy Independent/Organisation
Essentials of JavaScript Practice Coding Exercises Tips,https://www.udemy.com/essentials-of-javascript-practice-coding-exercises-tips/,Beginner Level,Udemy,Independent/Organisation,True,Essentials of JavaScript Practice Coding Exercises Tips essentials of javascript practice coding exercises tipsIT and Web Development Beginner Level Udemy Independent/Organisation
Learn and Earn with HTML & CSS,https://www.udemy.com/learn-and-earn-with-html-css/,All Levels,Udemy,Independent/Organisation,True,Learn and Earn with HTML & CSS learn and earn with html cssIT and Web Development All Levels Udemy Independent/Organisation
Get started Creating Websites Everything you need provided,https://www.udemy.com/get-started-creating-websites-everything-you-need-provided/,Beginner Level,Udemy,Independent/Organisation,True,Get started Creating Websites Everything you need provided get started creating websites everything you need providedIT and Web Development Beginner Level Udemy Independent/Organisation
JavaScript in Action JavaScript Projects,https://www.udemy.com/javascript-in-action-learn-javascript-projects/,Beginner Level,Udemy,Independent/Organisation,True,JavaScript in Action JavaScript Projects javascript in action learn javascript projectsIT and Web Development Beginner Level Udemy Independent/Organisation
Modern Web Development with Laravel 5.2 (PHP Framework),https://www.udemy.com/modern-web-development-with-laravel/,All Levels,Udemy,Independent/Organisation,True,Modern Web Development with Laravel 5.2 (PHP Framework) modern web development with laravelIT and Web Development All Levels Udemy Independent/Organisation
Programming for Entrepreneurs - JavaScript,https://www.udemy.com/javascript-tutorial/,Beginner Level,Udemy,Independent/Organisation,True,Programming for Entrepreneurs - JavaScript javascript tutorialIT and Web Development Beginner Level Udemy Independent/Organisation
Create a Website from Scratch using HTML CSS step by step,https://www.udemy.com/create-a-website-from-scratch-using-html-css-in-1-hour/,Beginner Level,Udemy,Independent/Organisation,True,Create a Website from Scratch using HTML CSS step by step create a website from scratch using html css in 1 hourIT and Web Development Beginner Level Udemy Independent/Organisation
Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,https://www.udemy.com/ajaxcourse/,All Levels,Udemy,Independent/Organisation,True,Complete AJAX Course: Learn AJAX Techniques Using Bootstrap ajaxcourseIT and Web Development All Levels Udemy Independent/Organisation
Learn jQuery by Example Course,https://www.udemy.com/complete-jquery-course/,Beginner Level,Udemy,Independent/Organisation,True,Learn jQuery by Example Course complete jquery courseIT and Web Development Beginner Level Udemy Independent/Organisation
Bootstrap 4 Theme Development Masterclass,https://www.udemy.com/bootstrap-theme-development-masterclass/,All Levels,Udemy,Independent/Organisation,True,Bootstrap 4 Theme Development Masterclass bootstrap theme development masterclassIT and Web Development All Levels Udemy Independent/Organisation
Wordpress Theme Development for Beginners,https://www.udemy.com/wordpress-theme-development-for-beginners/,All Levels,Udemy,Independent/Organisation,True,Wordpress Theme Development for Beginners wordpress theme development for beginnersIT and Web Development All Levels Udemy Independent/Organisation
Web Design Creating websites from scratch,https://www.udemy.com/web-design-creating-websites-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,Web Design Creating websites from scratch web design creating websites from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
HTML Learning the Basics Intro to HTML website coding,https://www.udemy.com/html-learning-the-basics-intro-to-html-website-coding/,Beginner Level,Udemy,Independent/Organisation,True,HTML Learning the Basics Intro to HTML website coding html learning the basics intro to html website codingIT and Web Development Beginner Level Udemy Independent/Organisation
Learn how to use Javascript Components with PHP and Symfony,https://www.udemy.com/learn-how-to-use-javascript-components-with-php-and-symfony/,All Levels,Udemy,Independent/Organisation,True,Learn how to use Javascript Components with PHP and Symfony learn how to use javascript components with php and symfonyIT and Web Development All Levels Udemy Independent/Organisation
So you think you know JavaScript?,https://www.udemy.com/so-you-think-you-know-javascript-1/,All Levels,Udemy,Independent/Organisation,True,So you think you know JavaScript? so you think you know javascript 1IT and Web Development All Levels Udemy Independent/Organisation
Learn Node.js by building Udemy: Stripe + MailChimp + Wistia,https://www.udemy.com/use-javascript-to-build-udemy-stripe-mailchimp-wistia/,All Levels,Udemy,Independent/Organisation,True,Learn Node.js by building Udemy: Stripe + MailChimp + Wistia use javascript to build udemy stripe mailchimp wistiaIT and Web Development All Levels Udemy Independent/Organisation
Learn jQuery: An In-depth Course For Beginners,https://www.udemy.com/jquery/,All Levels,Udemy,Independent/Organisation,True,Learn jQuery: An In-depth Course For Beginners jqueryIT and Web Development All Levels Udemy Independent/Organisation
JavaScript for Beginning Web Developers,https://www.udemy.com/learn-javascript-programming/,Beginner Level,Udemy,Independent/Organisation,True,JavaScript for Beginning Web Developers learn javascript programmingIT and Web Development Beginner Level Udemy Independent/Organisation
JQuery Create Overlay Popups from scratch using Jquery,https://www.udemy.com/jquery-create-modal-popup-windows-from-scratch-using-jquery/,All Levels,Udemy,Independent/Organisation,True,JQuery Create Overlay Popups from scratch using Jquery jquery create modal popup windows from scratch using jqueryIT and Web Development All Levels Udemy Independent/Organisation
Vue JS 2: From Beginner to Professional,https://www.udemy.com/vuejs-from-beginner-to-professional/,All Levels,Udemy,Independent/Organisation,True,Vue JS 2: From Beginner to Professional vuejs from beginner to professionalIT and Web Development All Levels Udemy Independent/Organisation
Ultimate AngularJS: Build a Real-World App from Scratch,https://www.udemy.com/ultimate-angularjs-course/,All Levels,Udemy,Independent/Organisation,True,Ultimate AngularJS: Build a Real-World App from Scratch ultimate angularjs courseIT and Web Development All Levels Udemy Independent/Organisation
Wordpress Site Migration,https://www.udemy.com/wordpress-site-migration-tutorial/,All Levels,Udemy,Independent/Organisation,True,Wordpress Site Migration wordpress site migration tutorialIT and Web Development All Levels Udemy Independent/Organisation
introduction to HTML Course,https://www.udemy.com/introduction-to-html-course/,Beginner Level,Udemy,Independent/Organisation,True,introduction to HTML Course introduction to html courseIT and Web Development Beginner Level Udemy Independent/Organisation
Create Single Page Website using Twitter Bootstrap 3,https://www.udemy.com/create-single-page-website-using-twitter-bootstrap/,Intermediate Level,Udemy,Independent/Organisation,True,Create Single Page Website using Twitter Bootstrap 3 create single page website using twitter bootstrapIT and Web Development Intermediate Level Udemy Independent/Organisation
The All-In-One Web Development Course,https://www.udemy.com/the-all-in-one-web-development-course/,All Levels,Udemy,Independent/Organisation,True,The All-In-One Web Development Course the all in one web development courseIT and Web Development All Levels Udemy Independent/Organisation
Code a Responsive Website Using HTML5 and CSS for Beginners,https://www.udemy.com/how-to-code-a-responsive-website-using-html5-and-css/,Beginner Level,Udemy,Independent/Organisation,True,Code a Responsive Website Using HTML5 and CSS for Beginners how to code a responsive website using html5 and cssIT and Web Development Beginner Level Udemy Independent/Organisation
AngularJS for the Real World - Learn by creating a WebApp,https://www.udemy.com/angularjs-for-the-real-world-learn-to-create-a-webapp/,All Levels,Udemy,Independent/Organisation,True,AngularJS for the Real World - Learn by creating a WebApp angularjs for the real world learn to create a webappIT and Web Development All Levels Udemy Independent/Organisation
Wordpress Tutorial   ,https://www.udemy.com/responsive-design/,All Levels,Udemy,Independent/Organisation,True,Wordpress Tutorial    responsive designIT and Web Development All Levels Udemy Independent/Organisation
Create a REAL Social Network like Facebook in PHP + MySQL,https://www.udemy.com/make-a-social-media-website/,All Levels,Udemy,Independent/Organisation,True,Create a REAL Social Network like Facebook in PHP + MySQL make a social media websiteIT and Web Development All Levels Udemy Independent/Organisation
Advanced Node.js Development,https://www.udemy.com/refactoru-adv-nodejs/,Expert Level,Udemy,Independent/Organisation,True,Advanced Node.js Development refactoru adv nodejsIT and Web Development Expert Level Udemy Independent/Organisation
ASP.NET MVC 5 Project - Facebook Clone,https://www.udemy.com/aspnet-mvc-5-project-facebook-clone/,All Levels,Udemy,Independent/Organisation,True,ASP.NET MVC 5 Project - Facebook Clone aspnet mvc 5 project facebook cloneIT and Web Development All Levels Udemy Independent/Organisation
Bootstrap For Beginners: A  Basic Introduction,https://www.udemy.com/bootstrap-for-beginners-a-basic-introduction/,Beginner Level,Udemy,Independent/Organisation,True,Bootstrap For Beginners: A  Basic Introduction bootstrap for beginners a basic introductionIT and Web Development Beginner Level Udemy Independent/Organisation
jQuery for Beginners,https://www.udemy.com/jquery-for-beginners_sre/,All Levels,Udemy,Independent/Organisation,True,jQuery for Beginners jquery for beginners_sreIT and Web Development All Levels Udemy Independent/Organisation
JavaScript Basics For Web Developers,https://www.udemy.com/javascript-basics-for-web-developers/,Beginner Level,Udemy,Independent/Organisation,True,JavaScript Basics For Web Developers javascript basics for web developersIT and Web Development Beginner Level Udemy Independent/Organisation
Learn PHP from Scratch,https://www.udemy.com/learn-php-from-scratch-in-1-3-hr/,Beginner Level,Udemy,Independent/Organisation,True,Learn PHP from Scratch learn php from scratch in 1 3 hrIT and Web Development Beginner Level Udemy Independent/Organisation
Learn Express,https://www.udemy.com/learn-express/,Intermediate Level,Udemy,Independent/Organisation,True,Learn Express learn expressIT and Web Development Intermediate Level Udemy Independent/Organisation
"Build A Web App with VueJS, Spring Framework and MongoDB",https://www.udemy.com/build-a-message-board-app-with-vue-spring-and-mongodb/,All Levels,Udemy,Independent/Organisation,True,"Build A Web App with VueJS, Spring Framework and MongoDB build a message board app with vue spring and mongodbIT and Web Development All Levels Udemy Independent/Organisation"
Zend Framework 2: Learn the PHP framework ZF2 from scratch,https://www.udemy.com/zend-framework-2-from-beginner-to-professional/,All Levels,Udemy,Independent/Organisation,True,Zend Framework 2: Learn the PHP framework ZF2 from scratch zend framework 2 from beginner to professionalIT and Web Development All Levels Udemy Independent/Organisation
Improved SEO with Rich Snippets and MicroData,https://www.udemy.com/improved-seo-with-rich-snippets-and-microdata/,Intermediate Level,Udemy,Independent/Organisation,False,Improved SEO with Rich Snippets and MicroData improved seo with rich snippets and microdataIT and Web Development Intermediate Level Udemy Independent/Organisation
X theme for WordPress: Responsive web design without code!,https://www.udemy.com/x-theme-for-wordpress-responsive-websites-without-code/,All Levels,Udemy,Independent/Organisation,True,X theme for WordPress: Responsive web design without code! x theme for wordpress responsive websites without codeIT and Web Development All Levels Udemy Independent/Organisation
Become a HTML and CSS Developer - Build a Responsive Site,https://www.udemy.com/learn-to-code-in-html-and-css/,Beginner Level,Udemy,Independent/Organisation,False,Become a HTML and CSS Developer - Build a Responsive Site learn to code in html and cssIT and Web Development Beginner Level Udemy Independent/Organisation
How to Make a Wordpress Website 2017,https://www.udemy.com/wordpress-4-for-beginners/,All Levels,Udemy,Independent/Organisation,False,How to Make a Wordpress Website 2017 wordpress 4 for beginnersIT and Web Development All Levels Udemy Independent/Organisation
Install Wordpress,https://www.udemy.com/learn-how-to-install-wordpress/,Beginner Level,Udemy,Independent/Organisation,True,Install Wordpress learn how to install wordpressIT and Web Development Beginner Level Udemy Independent/Organisation
CSS Specialist: Comprehensive CSS Training,https://www.udemy.com/css-specialist-comprehensive-css-training/,Beginner Level,Udemy,Independent/Organisation,True,CSS Specialist: Comprehensive CSS Training css specialist comprehensive css trainingIT and Web Development Beginner Level Udemy Independent/Organisation
Introduction to Laravel 4,https://www.udemy.com/introduction-to-laravel-4/,All Levels,Udemy,Independent/Organisation,False,Introduction to Laravel 4 introduction to laravel 4IT and Web Development All Levels Udemy Independent/Organisation
Introduction to Elm,https://www.udemy.com/introduction-to-elm/,Intermediate Level,Udemy,Independent/Organisation,False,Introduction to Elm introduction to elmIT and Web Development Intermediate Level Udemy Independent/Organisation
Learn to Freelance with People Per hour  (URDU),https://www.udemy.com/learn-to-freelance-with-people-per-hour-in-30-minutes/,All Levels,Udemy,Independent/Organisation,True,Learn to Freelance with People Per hour  (URDU) learn to freelance with people per hour in 30 minutesIT and Web Development All Levels Udemy Independent/Organisation
Learn Wordpress 4 from Scratch : Create Awesome Websites,https://www.udemy.com/learn-wordpress-from-scratch-and-create-websites/,All Levels,Udemy,Independent/Organisation,True,Learn Wordpress 4 from Scratch : Create Awesome Websites learn wordpress from scratch and create websitesIT and Web Development All Levels Udemy Independent/Organisation
Amazon Alexa Development: From Beginner to Intermediate,https://www.udemy.com/amazon-alexa-development-from-beginner-to-intermediate/,All Levels,Udemy,Independent/Organisation,True,Amazon Alexa Development: From Beginner to Intermediate amazon alexa development from beginner to intermediateIT and Web Development All Levels Udemy Independent/Organisation
The Build a SAAS App with Flask Course,https://www.udemy.com/the-build-a-saas-app-with-flask-course/,All Levels,Udemy,Independent/Organisation,True,The Build a SAAS App with Flask Course the build a saas app with flask courseIT and Web Development All Levels Udemy Independent/Organisation
Learn JSON with JavaScript Objects and APIs in 1 hour,https://www.udemy.com/json-course/,Intermediate Level,Udemy,Independent/Organisation,True,Learn JSON with JavaScript Objects and APIs in 1 hour json courseIT and Web Development Intermediate Level Udemy Independent/Organisation
1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,Beginner Level,Udemy,Independent/Organisation,True,1 Hour JavaScript 1 hour javascriptIT and Web Development Beginner Level Udemy Independent/Organisation
Building An E-Commerce Store Using Java Spring Framework,https://www.udemy.com/building-an-e-commerce-store-using-java-spring-framework/,All Levels,Udemy,Independent/Organisation,True,Building An E-Commerce Store Using Java Spring Framework building an e commerce store using java spring frameworkIT and Web Development All Levels Udemy Independent/Organisation
Typescript Masterclass & FREE E-Book,https://www.udemy.com/complete-typescript-2-course/,All Levels,Udemy,Independent/Organisation,True,Typescript Masterclass & FREE E-Book complete typescript 2 courseIT and Web Development All Levels Udemy Independent/Organisation
PHP MVC Framework CodeIgniter Tutorial for Beginners Project,https://www.udemy.com/php-mvc-framework-codeigniter-tutorial-for-beginners-project/,All Levels,Udemy,Independent/Organisation,True,PHP MVC Framework CodeIgniter Tutorial for Beginners Project php mvc framework codeigniter tutorial for beginners projectIT and Web Development All Levels Udemy Independent/Organisation
JavaScript - Become Higly Paid Front End Developer,https://www.udemy.com/javascript-become-higly-paid-front-end-developer/,Beginner Level,Udemy,Independent/Organisation,True,JavaScript - Become Higly Paid Front End Developer javascript become higly paid front end developerIT and Web Development Beginner Level Udemy Independent/Organisation
Object Oriented Programming (OOP) in PHP - Build An OOP Site,https://www.udemy.com/object-oriented-programming-in-php/,All Levels,Udemy,Independent/Organisation,True,Object Oriented Programming (OOP) in PHP - Build An OOP Site object oriented programming in phpIT and Web Development All Levels Udemy Independent/Organisation
Beginners Introduction to Web Development,https://www.udemy.com/explore-web-development/,Beginner Level,Udemy,Independent/Organisation,True,Beginners Introduction to Web Development explore web developmentIT and Web Development Beginner Level Udemy Independent/Organisation
Django + AngularJS for a Powerful Web Application,https://www.udemy.com/django-angularjs/,Intermediate Level,Udemy,Independent/Organisation,True,Django + AngularJS for a Powerful Web Application django angularjsIT and Web Development Intermediate Level Udemy Independent/Organisation
WordPress Academy: Learn WordPress step by step,https://www.udemy.com/wordpress-academy-course/,Beginner Level,Udemy,Independent/Organisation,True,WordPress Academy: Learn WordPress step by step wordpress academy courseIT and Web Development Beginner Level Udemy Independent/Organisation
Web Development Essential Skills - Complete HTML and CSS,https://www.udemy.com/complete-html5-css3-course-newbie-to-pro/,All Levels,Udemy,Independent/Organisation,True,Web Development Essential Skills - Complete HTML and CSS complete html5 css3 course newbie to proIT and Web Development All Levels Udemy Independent/Organisation
Byte-Sized-Chunks: Closures in Javascript,https://www.udemy.com/closures-in-javascript/,All Levels,Udemy,Independent/Organisation,True,Byte-Sized-Chunks: Closures in Javascript closures in javascriptIT and Web Development All Levels Udemy Independent/Organisation
Laravel Account Activation Project,https://www.udemy.com/laravel-account-activation-project/,All Levels,Udemy,Independent/Organisation,True,Laravel Account Activation Project laravel account activation projectIT and Web Development All Levels Udemy Independent/Organisation
WordPress: Create an Amazing Website With Ease,https://www.udemy.com/wordpress-basic-to-advanced-tutorials/,All Levels,Udemy,Independent/Organisation,True,WordPress: Create an Amazing Website With Ease wordpress basic to advanced tutorialsIT and Web Development All Levels Udemy Independent/Organisation
Mastering the Google Chrome Developer Tools,https://www.udemy.com/mastering-chrome-developer-tools/,All Levels,Udemy,Independent/Organisation,True,Mastering the Google Chrome Developer Tools mastering chrome developer toolsIT and Web Development All Levels Udemy Independent/Organisation
Kali Linux Web App Testing,https://www.udemy.com/kali-linux-web-app-testing/,All Levels,Udemy,Independent/Organisation,True,Kali Linux Web App Testing kali linux web app testingIT and Web Development All Levels Udemy Independent/Organisation
Learn Ruby Programming The Easy Way - Lite,https://www.udemy.com/learn-ruby-programming-the-easy-way-lite/,All Levels,Udemy,Independent/Organisation,True,Learn Ruby Programming The Easy Way - Lite learn ruby programming the easy way liteIT and Web Development All Levels Udemy Independent/Organisation
"Web Scraping with Python, Ruby & import. io",https://www.udemy.com/web-scraping-with-python-ruby-import-io-for-fun-profit/,All Levels,Udemy,Independent/Organisation,True,"Web Scraping with Python, Ruby & import. io web scraping with python ruby import io for fun profitIT and Web Development All Levels Udemy Independent/Organisation"
Sending email with PHP: from Basic to Advanced,https://www.udemy.com/php-email/,All Levels,Udemy,Independent/Organisation,True,Sending email with PHP: from Basic to Advanced php emailIT and Web Development All Levels Udemy Independent/Organisation
WordPress 2016 for Beginners : Build awesome websites!,https://www.udemy.com/build-your-own-wordpress-website-in-less-than-90-minutes/,All Levels,Udemy,Independent/Organisation,True,WordPress 2016 for Beginners : Build awesome websites! build your own wordpress website in less than 90 minutesIT and Web Development All Levels Udemy Independent/Organisation
Learn to make websites with Google's Material Design Lite,https://www.udemy.com/learn-googles-material-design-lite/,All Levels,Udemy,Independent/Organisation,True,Learn to make websites with Google's Material Design Lite learn googles material design liteIT and Web Development All Levels Udemy Independent/Organisation
Joomla 3 : Develop a Professional Website in 3 Simple Steps!,https://www.udemy.com/develop-a-professional-hotel-website-using-joomla-3x/,All Levels,Udemy,Independent/Organisation,True,Joomla 3 : Develop a Professional Website in 3 Simple Steps! develop a professional hotel website using joomla 3xIT and Web Development All Levels Udemy Independent/Organisation
Complete Python Web Course: Build 8 Python Web Apps,https://www.udemy.com/the-complete-python-web-course-learn-by-building-8-apps/,All Levels,Udemy,Independent/Organisation,True,Complete Python Web Course: Build 8 Python Web Apps the complete python web course learn by building 8 appsIT and Web Development All Levels Udemy Independent/Organisation
Web Design for Beginners: Real World Coding in HTML & CSS,https://www.udemy.com/web-design-for-beginners-real-world-coding-in-html-css/,All Levels,Udemy,Independent/Organisation,True,Web Design for Beginners: Real World Coding in HTML & CSS web design for beginners real world coding in html cssIT and Web Development All Levels Udemy Independent/Organisation
Ethereum Developer: Build A Decentralised Blockchain App,https://www.udemy.com/ethereum-developer/,All Levels,Udemy,Independent/Organisation,True,Ethereum Developer: Build A Decentralised Blockchain App ethereum developerIT and Web Development All Levels Udemy Independent/Organisation
The Complete Web Development Course -  Build 15 Projects,https://www.udemy.com/complete-web-development-course/,All Levels,Udemy,Independent/Organisation,True,The Complete Web Development Course -  Build 15 Projects complete web development courseIT and Web Development All Levels Udemy Independent/Organisation
Angular 2 + Rails 5 Bootcamp,https://www.udemy.com/angular-on-rails-course/,Intermediate Level,Udemy,Independent/Organisation,True,Angular 2 + Rails 5 Bootcamp angular on rails courseIT and Web Development Intermediate Level Udemy Independent/Organisation
Javascript - From Beginner to Pro-Build real world JS apps,https://www.udemy.com/javascript-from-beginner-to-pro-best-course/,Beginner Level,Udemy,Independent/Organisation,True,Javascript - From Beginner to Pro-Build real world JS apps javascript from beginner to pro best courseIT and Web Development Beginner Level Udemy Independent/Organisation
Redux in Angular (2 and 4+),https://www.udemy.com/redux-in-angular/,Intermediate Level,Udemy,Independent/Organisation,True,Redux in Angular (2 and 4+) redux in angularIT and Web Development Intermediate Level Udemy Independent/Organisation
The complete JavaScript developer: MEAN stack zero-to-hero,https://www.udemy.com/the-complete-javascript-developer-mean-stack-zero-to-hero/,All Levels,Udemy,Independent/Organisation,True,The complete JavaScript developer: MEAN stack zero-to-hero the complete javascript developer mean stack zero to heroIT and Web Development All Levels Udemy Independent/Organisation
Running a Web Development Business: The Complete Guide,https://www.udemy.com/the-complete-guide-to-running-a-web-development-business/,All Levels,Udemy,Independent/Organisation,True,Running a Web Development Business: The Complete Guide the complete guide to running a web development businessIT and Web Development All Levels Udemy Independent/Organisation
Projects In JavaScript & JQuery,https://www.udemy.com/projects-in-javascript-jquery/,All Levels,Udemy,Independent/Organisation,True,Projects In JavaScript & JQuery projects in javascript jqueryIT and Web Development All Levels Udemy Independent/Organisation
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,https://www.udemy.com/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/,All Levels,Udemy,Independent/Organisation,True,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month learn to build beautiful html5 and css3 websites in 1 monthIT and Web Development All Levels Udemy Independent/Organisation
"Full stack Universal React with Redux, Node js and MongoDB",https://www.udemy.com/full-stack-universal-react-with-redux-express-and-mongodb/,Intermediate Level,Udemy,Independent/Organisation,True,"Full stack Universal React with Redux, Node js and MongoDB full stack universal react with redux express and mongodbIT and Web Development Intermediate Level Udemy Independent/Organisation"
Creating an MP3 Player with HTML5,https://www.udemy.com/creating-an-mp3-player-with-html5/,All Levels,Udemy,Independent/Organisation,True,Creating an MP3 Player with HTML5 creating an mp3 player with html5IT and Web Development All Levels Udemy Independent/Organisation
Be a Bootstrap Developer from scratch,https://www.udemy.com/be-a-bootstrap-developer-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,Be a Bootstrap Developer from scratch be a bootstrap developer from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
Create Your First Wordpress Site in Under an Hour,https://www.udemy.com/how-to-install-wordpress-/,Beginner Level,Udemy,Independent/Organisation,True,Create Your First Wordpress Site in Under an Hour how to install wordpress IT and Web Development Beginner Level Udemy Independent/Organisation
Learn Coding as RF or Telecom Engineer - Build Real Program,https://www.udemy.com/learn-coding-as-rf-or-telecom-engineer-build-real-program/,Beginner Level,Udemy,Independent/Organisation,True,Learn Coding as RF or Telecom Engineer - Build Real Program learn coding as rf or telecom engineer build real programIT and Web Development Beginner Level Udemy Independent/Organisation
Creating FaceBook Design Using Bootstrap - Handson Project,https://www.udemy.com/facebook-design-using-bootstrap/,All Levels,Udemy,Independent/Organisation,True,Creating FaceBook Design Using Bootstrap - Handson Project facebook design using bootstrapIT and Web Development All Levels Udemy Independent/Organisation
Building HTML5 Canvas projects from scratch,https://www.udemy.com/building-html5-canvas-projects-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,Building HTML5 Canvas projects from scratch building html5 canvas projects from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
Learn How To Become a Web Developer From Scratch,https://www.udemy.com/learn-how-to-become-a-front-end-web-developer-from-scratch/,Beginner Level,Udemy,Independent/Organisation,True,Learn How To Become a Web Developer From Scratch learn how to become a front end web developer from scratchIT and Web Development Beginner Level Udemy Independent/Organisation
"Earn Big Profits With Web Development, Simple and Easy!",https://www.udemy.com/earn-big-profits-by-building-simple-and-easy-websites/,Beginner Level,Udemy,Independent/Organisation,True,"Earn Big Profits With Web Development, Simple and Easy! earn big profits by building simple and easy websitesIT and Web Development Beginner Level Udemy Independent/Organisation"
BDD with Ruby on Rails using RSpec 3 and Capybara,https://www.udemy.com/rubyonrails-bdd-rspec-capybara/,All Levels,Udemy,Independent/Organisation,True,BDD with Ruby on Rails using RSpec 3 and Capybara rubyonrails bdd rspec capybaraIT and Web Development All Levels Udemy Independent/Organisation
